Sample,X(ms) [15.06.2012 10:34:03 554 UTC],"T[%MD116]","Tr[%MD104]","U[%MD124]"
1,1339756443654.343040,40.6810607910156,49.994571685791,18.9746265411377
2,1339756443754.332520,41.0065841674805,49.994571685791,18.9746265411377
3,1339756443854.347920,41.332103729248,49.994571685791,18.9746265411377
4,1339756443954.370920,41.9108085632324,49.994571685791,17.5789737701416
5,1339756444054.335720,42.5437660217285,49.994571685791,17.5789737701416
6,1339756444154.351700,42.8602447509766,49.994571685791,17.5789737701416
7,1339756444254.337680,43.339485168457,49.994571685791,17.5789737701416
8,1339756444354.366840,43.7825508117676,49.994571685791,16.0822238922119
9,1339756444454.348580,44.1080741882324,49.994571685791,16.0822238922119
10,1339756444554.339420,44.867618560791,49.994571685791,16.0822238922119
11,1339756444654.351440,45.6181297302246,49.994571685791,16.0822238922119
12,1339756444754.389260,45.9617347717285,49.994571685791,14.3859100341797
13,1339756444854.364160,45.9798164367676,49.994571685791,14.3859100341797
14,1339756444954.336760,46.7755355834961,49.994571685791,14.3859100341797
15,1339756445054.336360,47.191478729248,49.994571685791,14.3859100341797
16,1339756445154.370940,47.489875793457,49.994571685791,12.8834438323975
17,1339756445254.339200,48.0504913330078,49.994571685791,12.8834438323975
18,1339756445354.361820,48.6924896240234,49.994571685791,12.8834438323975
19,1339756445454.352580,48.755786895752,49.994571685791,12.8834438323975
20,1339756445554.378700,49.126522064209,49.994571685791,11.2217836380005
21,1339756445654.343520,49.3525733947754,49.994571685791,11.2217836380005
22,1339756445754.385900,50.238712310791,49.994571685791,11.2217836380005
23,1339756445854.334160,50.3020095825195,49.994571685791,11.2217836380005
24,1339756445954.371460,50.5732765197754,49.994571685791,9.81407642364502
25,1339756446054.339760,50.9168853759766,50.0036163330078,9.81407642364502
26,1339756446154.359820,51.2062339782715,49.994571685791,9.81407642364502
27,1339756446254.336100,51.9657859802246,49.994571685791,9.81407642364502
28,1339756446354.395040,52.128547668457,49.994571685791,8.35973072052002
29,1339756446454.360900,52.3817291259766,49.994571685791,8.35973072052002
30,1339756446554.357680,52.734375,49.994571685791,8.35973072052002
31,1339756446654.336020,52.7705421447754,49.994571685791,8.35973072052002
32,1339756446754.376520,53.050853729248,49.994571685791,7.09671354293823
33,1339756446854.355960,53.3854179382324,49.994571685791,7.09671354293823
34,1339756446954.355740,53.656681060791,49.994571685791,7.09671354293823
35,1339756447054.330840,53.6928520202637,49.994571685791,7.09671354293823
36,1339756447154.371600,53.6747703552246,49.994571685791,6.09191417694092
37,1339756447254.345060,54.1359214782715,49.994571685791,6.09191417694092
38,1339756447354.345180,54.3077239990234,49.994571685791,6.09191417694092
39,1339756447454.365820,54.3077239990234,49.994571685791,6.09191417694092
40,1339756447554.369760,54.615161895752,49.994571685791,5.17568635940552
41,1339756447654.377140,54.6242027282715,49.994571685791,5.17568635940552
42,1339756447754.342500,54.9135551452637,49.994571685791,5.17568635940552
43,1339756447854.334060,54.931640625,49.994571685791,5.17568635940552
44,1339756447954.370460,54.6603736877441,49.994571685791,4.52496719360352
45,1339756448054.338980,54.8954734802246,49.994571685791,4.52496719360352
46,1339756448154.359820,54.931640625,49.994571685791,4.52496719360352
47,1339756448254.331920,54.931640625,49.994571685791,4.52496719360352
48,1339756448354.367360,55.2029075622559,49.994571685791,4.08787965774536
49,1339756448454.365520,55.2209930419922,49.994571685791,4.08787965774536
50,1339756448554.354420,54.9678077697754,49.994571685791,4.08787965774536
51,1339756448654.336660,55.2029075622559,49.994571685791,4.08787965774536
52,1339756448754.369820,54.9497261047363,49.994571685791,3.75479626655579
53,1339756448854.364580,54.931640625,49.994571685791,3.75479626655579
54,1339756448954.342260,54.931640625,49.994571685791,3.75479626655579
55,1339756449054.338080,54.931640625,49.994571685791,3.75479626655579
56,1339756449154.369320,54.633243560791,49.994571685791,3.74289178848267
57,1339756449254.375000,54.6242027282715,49.994571685791,3.74289178848267
58,1339756449354.347260,54.325813293457,49.994571685791,3.74289178848267
59,1339756449454.334480,54.5880355834961,49.994571685791,3.74289178848267
60,1339756449554.386760,54.6242027282715,49.994571685791,3.83065795898438
61,1339756449654.359020,54.0545425415039,49.994571685791,3.83065795898438
62,1339756449754.358480,54.2353858947754,49.994571685791,3.83065795898438
63,1339756449854.370980,54.0002899169922,49.994571685791,3.83065795898438
64,1339756449954.369420,54.0002899169922,49.994571685791,4.08606719970703
65,1339756450054.343180,53.8465728759766,49.994571685791,4.08606719970703
66,1339756450154.338280,53.6928520202637,49.994571685791,4.08606719970703
67,1339756450254.356260,53.6928520202637,49.994571685791,4.08606719970703
68,1339756450354.374580,53.394458770752,49.994571685791,4.31132984161377
69,1339756450454.359000,53.3854179382324,49.994571685791,4.31132984161377
70,1339756450554.355640,52.8157539367676,49.994571685791,4.31132984161377
71,1339756450654.337860,52.544490814209,49.994571685791,4.31132984161377
72,1339756450754.375440,52.7524604797363,49.994571685791,4.92532730102539
73,1339756450854.357860,52.173755645752,49.994571685791,4.92532730102539
74,1339756450954.359420,51.9205741882324,49.994571685791,4.92532730102539
75,1339756451054.334560,51.8572769165039,49.994571685791,4.92532730102539
76,1339756451154.386920,51.5407981872559,49.994571685791,5.79742288589478
77,1339756451254.348420,51.5317573547363,49.994571685791,5.79742288589478
78,1339756451354.345340,51.2424049377441,49.994571685791,5.79742288589478
79,1339756451454.339460,51.2243194580078,49.994571685791,5.79742288589478
80,1339756451554.378880,51.2243194580078,49.994571685791,6.2798171043396
81,1339756451654.357560,50.78125,49.994571685791,6.2798171043396
82,1339756451754.396760,50.609447479248,49.994571685791,6.2798171043396
83,1339756451854.339940,50.3020095825195,49.994571685791,6.2798171043396
84,1339756451954.381640,50.3833923339844,49.994571685791,7.01009607315063
85,1339756452054.338220,50.3020095825195,49.994571685791,7.01009607315063
86,1339756452154.343080,49.7142639160156,49.994571685791,7.01009607315063
87,1339756452254.352780,49.678092956543,49.994571685791,7.01009607315063
88,1339756452354.377940,49.4068298339844,49.994571685791,7.73449659347534
89,1339756452454.355720,49.370662689209,49.994571685791,7.73449659347534
90,1339756452554.358700,49.0813064575195,49.994571685791,7.73449659347534
91,1339756452654.332360,48.773868560791,49.994571685791,7.73449659347534
92,1339756452754.402360,48.755786895752,49.994571685791,8.53068256378174
93,1339756452854.332220,48.755786895752,49.994571685791,8.53068256378174
94,1339756452954.364140,48.466438293457,49.994571685791,8.53068256378174
95,1339756453054.340740,48.4483489990234,49.994571685791,8.53068256378174
96,1339756453154.372100,48.222297668457,49.994571685791,9.10428047180176
97,1339756453254.341620,47.8515625,49.994571685791,9.10428047180176
98,1339756453354.350860,48.1047439575195,49.994571685791,9.10428047180176
99,1339756453454.336220,47.8425216674805,49.994571685791,9.10428047180176
100,1339756453554.370380,47.535083770752,49.994571685791,9.82114124298096
101,1339756453654.378300,47.5260429382324,49.994571685791,9.82114124298096
102,1339756453754.359660,47.2276458740234,49.994571685791,9.82114124298096
103,1339756453854.338000,47.2095642089844,49.994571685791,9.82114124298096
104,1339756453954.385200,47.2095642089844,49.994571685791,10.4681844711304
105,1339756454054.333780,47.2095642089844,49.994571685791,10.4681844711304
106,1339756454154.344920,46.9111671447754,49.994571685791,10.4681844711304
