Sample,X(ms) [15.06.2012 10:17:15 954 UTC],"T[%MD116]","Tr[%MD104]","U[%MD124]"
2,1339755436154.349460,42.5256805419922,49.994571685791,17.9242668151855
3,1339755436254.358640,42.8873710632324,49.994571685791,17.9242668151855
4,1339755436354.351300,43.5022430419922,49.994571685791,17.9242668151855
5,1339755436454.353220,44.6867752075195,49.994571685791,17.9242668151855
6,1339755436554.399140,45.3468589782715,49.994571685791,13.1725101470947
7,1339755436654.336480,45.970775604248,49.994571685791,13.1725101470947
8,1339755436754.351900,46.5856475830078,49.994571685791,13.1725101470947
9,1339755436854.336980,46.9021263122559,49.994571685791,13.1725101470947
10,1339755436954.344680,47.8696479797363,49.994571685791,13.1725101470947
11,1339755437054.392520,48.7377014160156,49.994571685791,10.4444665908813
12,1339755437154.330880,49.0632247924805,49.994571685791,10.4444665908813
13,1339755437254.335880,49.6690521240234,49.994571685791,10.4444665908813
14,1339755437354.365420,50.6004066467285,49.994571685791,10.4444665908813
15,1339755437454.350400,50.9168853759766,49.994571685791,10.4444665908813
16,1339755437554.375800,51.3780364990234,49.994571685791,7.36327934265137
17,1339755437654.383000,51.8391914367676,49.994571685791,7.36327934265137
18,1339755437754.345600,52.4631080627441,49.994571685791,7.36327934265137
19,1339755437854.333500,52.8790512084961,49.994571685791,7.36327934265137
20,1339755437954.349800,53.6114730834961,49.994571685791,7.36327934265137
21,1339755438054.376660,54.144962310791,49.994571685791,4.87568092346191
22,1339755438154.358020,54.615161895752,49.994571685791,4.87568092346191
23,1339755438254.337460,54.6242027282715,49.994571685791,4.87568092346191
24,1339755438354.336560,55.2752456665039,49.994571685791,4.87568092346191
25,1339755438454.361160,55.546516418457,49.994571685791,4.87568092346191
26,1339755438554.375740,55.8449058532715,49.994571685791,2.69593286514282
27,1339755438654.359940,56.1613845825195,49.994571685791,2.69593286514282
28,1339755438754.333980,56.767219543457,49.994571685791,2.69593286514282
29,1339755438854.341440,56.7762603759766,49.994571685791,2.69593286514282
30,1339755438954.356000,56.7762603759766,49.994571685791,2.69593286514282
31,1339755439054.371620,56.7943420410156,49.994571685791,2.00476551055908
32,1339755439154.335360,57.3911323547363,49.994571685791,2.00476551055908
33,1339755439254.338400,57.12890625,49.994571685791,2.00476551055908
34,1339755439354.375540,57.6985664367676,49.994571685791,2.00476551055908
35,1339755439454.358220,57.7076110839844,49.994571685791,2.00476551055908
36,1339755439554.378300,57.7076110839844,49.994571685791,1.57684361934662
37,1339755439654.331380,58.0150451660156,49.994571685791,1.57684361934662
38,1339755439754.353460,58.0150451660156,49.994571685791,1.57684361934662
39,1339755439854.342360,57.9969635009766,49.994571685791,1.57684361934662
40,1339755439954.381320,58.0150451660156,49.994571685791,1.57684361934662
41,1339755440054.392100,57.7076110839844,49.994571685791,1.17144775390625
42,1339755440154.376780,58.0060043334961,49.994571685791,1.17144775390625
43,1339755440254.356340,58.0150451660156,49.994571685791,1.17144775390625
44,1339755440354.342620,57.8974952697754,49.994571685791,1.17144775390625
45,1339755440454.336400,57.4001731872559,49.994571685791,1.17144775390625
46,1339755440554.380540,57.4001731872559,49.994571685791,2.18500566482544
47,1339755440654.338760,57.4001731872559,49.994571685791,2.18500566482544
48,1339755440754.393100,57.4001731872559,49.994571685791,2.18500566482544
49,1339755440854.332100,57.0927391052246,49.994571685791,2.18500566482544
50,1339755440954.364840,57.0927391052246,49.994571685791,2.18500566482544
51,1339755441054.399140,56.7762603759766,49.994571685791,3.01612138748169
52,1339755441154.329300,56.7762603759766,49.994571685791,3.01612138748169
53,1339755441254.329380,56.5049896240234,49.994571685791,3.01612138748169
54,1339755441354.335720,56.1613845825195,49.994571685791,3.01612138748169
55,1339755441454.341700,55.853946685791,49.994571685791,3.01612138748169
56,1339755441554.389540,55.546516418457,49.994571685791,4.53503751754761
57,1339755441654.371780,55.546516418457,49.994571685791,4.53503751754761
58,1339755441754.344060,55.2390785217285,49.994571685791,4.53503751754761
59,1339755441854.351780,55.2390785217285,49.994571685791,4.53503751754761
60,1339755441954.331440,54.6242027282715,49.994571685791,4.53503751754761
61,1339755442054.376000,54.6242027282715,49.994571685791,5.5693736076355
62,1339755442154.369420,54.0183753967285,49.994571685791,5.5693736076355
63,1339755442254.339520,54.0002899169922,49.994571685791,5.5693736076355
64,1339755442354.338380,53.7018966674805,49.994571685791,5.5693736076355
65,1339755442454.375820,53.4306297302246,49.994571685791,5.5693736076355
66,1339755442554.375300,53.0870208740234,49.994571685791,7.72503900527954
67,1339755442654.345000,52.7795867919922,49.994571685791,7.72503900527954
68,1339755442754.329760,52.4631080627441,49.994571685791,7.72503900527954
69,1339755442854.354300,52.4631080627441,49.994571685791,7.72503900527954
70,1339755442954.333840,52.4631080627441,49.994571685791,7.72503900527954
71,1339755443054.384340,51.8391914367676,49.994571685791,8.43352699279785
72,1339755443154.334100,51.7849388122559,49.994571685791,8.43352699279785
73,1339755443254.333660,51.5317573547363,49.994571685791,8.43352699279785
74,1339755443354.364180,51.5317573547363,49.994571685791,8.43352699279785
75,1339755443454.340760,51.2243194580078,49.994571685791,8.43352699279785
76,1339755443554.401480,50.7631645202637,49.994571685791,8.87513160705566
77,1339755443654.335300,50.609447479248,49.994571685791,8.87513160705566
78,1339755443754.332160,50.3020095825195,49.994571685791,8.87513160705566
