Sample,X(ms) [15.06.2012 10:53:26 954 UTC],"T[%MD116]","Tr[%MD104]","U[%MD124]"
792,1339757686154.378060,80.3855590820313,80.213752746582,24.6804885864258
793,1339757686254.336340,80.2318420410156,79.969612121582,24.6804885864258
794,1339757686354.350240,80.2318420410156,80.0871734619141,24.6804885864258
795,1339757686454.355500,80.2318420410156,79.960578918457,24.6804885864258
796,1339757686554.351740,80.0057907104492,80.2318420410156,24.6804885864258
797,1339757686654.374780,79.698356628418,79.9877014160156,24.8694458007813
798,1339757686754.333960,79.6169738769531,79.9334487915039,24.8694458007813
799,1339757686854.353200,79.6531372070313,80.0600433349609,24.8694458007813
800,1339757686954.364260,79.6169738769531,80.1685485839844,24.8694458007813
801,1339757687054.340840,79.345703125,80.213752746582,24.8694458007813
802,1339757687154.368180,79.1558151245117,79.942497253418,25.431791305542
803,1339757687254.358580,79.3095321655273,79.9334487915039,25.431791305542
804,1339757687354.349040,79.0653915405273,80.0419540405273,25.431791305542
805,1339757687454.346160,78.6946640014648,79.960578918457,25.431791305542
806,1339757687554.354420,78.4053115844727,80.078125,25.431791305542
807,1339757687654.387500,78.3872222900391,80.2228012084961,26.4641304016113
808,1339757687754.390460,78.1521301269531,79.942497253418,26.4641304016113
809,1339757687854.332500,78.0707473754883,79.9244079589844,26.4641304016113
810,1339757687954.336640,78.0707473754883,79.9786605834961,26.4641304016113
811,1339757688054.345960,78.0707473754883,80.1685485839844,26.4641304016113
812,1339757688154.376700,77.8446884155273,79.960578918457,27.0277709960938
813,1339757688254.354360,77.763313293457,80.2318420410156,27.0277709960938
814,1339757688354.335820,77.4558715820313,79.960578918457,27.0277709960938
815,1339757688454.379980,77.4558715820313,80.1595077514648,27.0277709960938
816,1339757688554.396940,77.1846084594727,80.0057907104492,27.0277709960938
817,1339757688654.372180,76.8771667480469,80.195671081543,28.0893287658691
818,1339757688754.334660,76.6149444580078,80.213752746582,28.0893287658691
819,1339757688854.334900,76.533561706543,79.9967422485352,28.0893287658691
820,1339757688954.339100,76.533561706543,80.2318420410156,28.0893287658691
821,1339757689054.355580,76.533561706543,79.942497253418,28.0893287658691
822,1339757689154.403140,76.2622985839844,80.195671081543,29.126838684082
823,1339757689254.339300,75.9096527099609,79.942497253418,29.126838684082
824,1339757689354.357900,75.9096527099609,80.2318420410156,29.126838684082
825,1339757689454.343320,75.9096527099609,80.1595077514648,29.126838684082
826,1339757689554.334580,75.9096527099609,80.078125,29.126838684082
827,1339757689654.412380,75.6383819580078,79.9877014160156,29.787260055542
828,1339757689754.359940,75.6022109985352,79.9786605834961,29.787260055542
829,1339757689854.345100,75.575080871582,80.0871734619141,29.787260055542
830,1339757689954.373540,75.6022109985352,80.204719543457,29.787260055542
831,1339757690054.367780,75.2947769165039,80.213752746582,29.787260055542
832,1339757690154.395800,75.2947769165039,79.960578918457,30.3940830230713
833,1339757690254.344760,75.1410598754883,79.9334487915039,30.3940830230713
834,1339757690354.333840,75.2224426269531,80.204719543457,30.3940830230713
835,1339757690454.387160,75.2947769165039,80.204719543457,30.3940830230713
836,1339757690554.348200,75.0235061645508,80.0600433349609,30.3940830230713
837,1339757690654.385720,74.7612838745117,79.9967422485352,31.0901622772217
838,1339757690754.338840,74.833625793457,80.213752746582,31.0901622772217
839,1339757690854.362500,74.9873428344727,79.9334487915039,31.0901622772217
840,1339757690954.350780,74.6979827880859,80.0419540405273,31.0901622772217
841,1339757691054.341020,74.833625793457,79.9334487915039,31.0901622772217
842,1339757691154.399400,74.9150009155273,79.960578918457,31.5845203399658
843,1339757691254.354400,74.9873428344727,80.195671081543,31.5845203399658
844,1339757691354.357720,74.7522430419922,79.9334487915039,31.5845203399658
845,1339757691454.349580,74.6799011230469,80.2318420410156,31.5845203399658
846,1339757691554.346820,74.6799011230469,79.9334487915039,31.5845203399658
847,1339757691654.393720,74.6799011230469,80.0690765380859,32.0980606079102
848,1339757691754.349980,74.9150009155273,80.0962066650391,32.0980606079102
849,1339757691854.362480,74.833625793457,80.213752746582,32.0980606079102
850,1339757691954.342800,74.6979827880859,79.942497253418,32.0980606079102
851,1339757692054.363220,74.9150009155273,79.9244079589844,32.0980606079102
852,1339757692154.418480,75.0144653320313,80.204719543457,32.4302978515625
853,1339757692254.344380,74.9873428344727,79.9967422485352,32.4302978515625
854,1339757692354.338920,74.7612838745117,80.195671081543,32.4302978515625
855,1339757692454.336060,74.9150009155273,80.0419540405273,32.4302978515625
856,1339757692554.335240,74.9873428344727,80.1595077514648,32.4302978515625
857,1339757692654.386900,75.2133941650391,79.9334487915039,32.3708076477051
858,1339757692754.364220,75.2947769165039,79.9877014160156,32.3708076477051
859,1339757692854.357040,75.2947769165039,79.951530456543,32.3708076477051
860,1339757692954.340460,75.2947769165039,80.1142959594727,32.3708076477051
861,1339757693054.347660,75.2947769165039,80.0871734619141,32.3708076477051
862,1339757693154.374260,75.4485015869141,80.1685485839844,32.5456657409668
863,1339757693254.366220,75.6022109985352,80.2318420410156,32.5456657409668
864,1339757693354.359360,75.6022109985352,80.0690765380859,32.5456657409668
865,1339757693454.336860,75.6022109985352,80.2318420410156,32.5456657409668
866,1339757693554.344820,75.8282699584961,80.078125,32.5456657409668
867,1339757693654.419580,76.1447448730469,80.1142959594727,32.339298248291
868,1339757693754.336940,76.2261276245117,80.2228012084961,32.339298248291
869,1339757693854.338200,76.2261276245117,80.213752746582,32.339298248291
870,1339757693954.334640,76.3798446655273,80.2228012084961,32.339298248291
871,1339757694054.366280,76.533561706543,79.9967422485352,32.339298248291
872,1339757694154.388780,76.533561706543,79.960578918457,31.805492401123
873,1339757694254.399720,76.533561706543,80.2318420410156,31.805492401123
874,1339757694354.330180,76.533561706543,79.9244079589844,31.805492401123
875,1339757694454.343860,76.6872863769531,79.9244079589844,31.805492401123
876,1339757694554.345260,76.8410034179688,79.9244079589844,31.805492401123
877,1339757694654.403200,77.0761032104492,80.1685485839844,31.8688831329346
878,1339757694754.349820,77.1484375,80.1685485839844,31.8688831329346
879,1339757694854.345360,77.3021545410156,79.9967422485352,31.8688831329346
880,1339757694954.345200,77.4558715820313,80.0871734619141,31.8688831329346
881,1339757695054.337060,77.4558715820313,79.951530456543,31.8688831329346
882,1339757695154.374280,77.4558715820313,80.078125,31.3391628265381
883,1339757695254.358820,77.6819305419922,80.0057907104492,31.3391628265381
884,1339757695354.367820,77.763313293457,80.2228012084961,31.3391628265381
885,1339757695454.355780,77.7904357910156,79.9244079589844,31.3391628265381
886,1339757695554.338900,77.763313293457,80.0148315429688,31.3391628265381
887,1339757695654.402520,78.0707473754883,79.960578918457,30.9215393066406
888,1339757695754.358620,78.3872222900391,79.9244079589844,30.9215393066406
889,1339757695854.337240,78.3872222900391,80.0871734619141,30.9215393066406
890,1339757695954.335980,78.3872222900391,80.0690765380859,30.9215393066406
